Animal,Color,Diet,Habitat,Predators,Countries Found,Conservation Status,Family,Social Structure,Height (cm) (Cleaned),Weight (kg) (Cleaned),Lifespan (years) (Cleaned),Average Speed (km/h) (Cleaned),Gestation Period (days) (Cleaned),Top Speed (km/h) (Cleaned),Offspring per Birth (Cleaned)
Aardvark,Grey,Insectivore,"Savannas, Grasslands","Lions, Hyenas",Africa,Least Concern,Orycteropodidae,Solitary,117.5,52.5,25.0,40.0,225.0,40.0,1.0
Aardwolf,Yellow-brown,Insectivore,"Grasslands, Savannas","Lions, Leopards",Eastern and Southern Africa,Least Concern,Hyaenidae,Solitary,45.0,11.0,11.0,27.0,90.0,40.0,3.5
African Elephant,Grey,Herbivore,"Savannah, Forest","Lions, Hyenas",Africa,Vulnerable,Elephantidae,Herd-based,290.0,4350.0,65.0,25.0,650.0,40.0,1.0
African Lion,Tan,Carnivore,"Grasslands, Savannas","Hyenas, Crocodiles",Africa,Vulnerable,Felidae,Group-based,95.0,185.0,12.0,58.0,101.5,80.0,3.0
African Wild Dog,Multicolored,Carnivore,Savannahs,"Lions, Hyenas",Sub-Saharan Africa,Endangered,Canidae,Group-based,77.5,27.0,11.0,56.0,70.0,56.0,11.0
Alpine Ibex,Brown,Herbivore,"Mountains, Alpine","Wolves, Golden Eagles",European Alps,Least Concern,Bovidae,Group-based,84.0,69.5,17.5,60.0,150.0,60.0,1.0
Amazon Rainforest Frog,Various,Insectivore,Amazon Rainforest,"Birds, Snakes",Amazon Rainforest,Not Evaluated,Dendrobatidae,Solitary,7.5,,10.5,0.55,12.5,0.8,
American Bison,Brown,Herbivore,"Grasslands, Plains","Wolves, Grizzly Bears",North America,Near Threatened,Bovidae,Group-based,169.0,318.0,17.5,48.0,280.0,56.0,1.0
Anteater,"Brown, White",Insectivore,"Grasslands, Forests","Jaguars, Pumas",Central and South America,Least Concern,Myrmecophagidae,Solitary,71.5,31.5,17.5,24.0,200.0,24.0,1.0
Arabian Horse,Various,Herbivore,"Middle East, North Africa","Humans, Predators","Middle East, North Africa",Not Applicable,Equidae,Herd-based,150.0,690.0,27.5,65.0,336.0,65.0,1.0
Arabian Oryx,White,Herbivore,Desert,"Lions, Leopards",Middle East,Vulnerable,Bovidae,Herd-based,80.0,77.5,15.0,55.0,225.0,55.0,1.0
Arctic Fox,White,Omnivore,Tundra,Polar Bears,Arctic regions,Least Concern,Canidae,Solitary,27.5,5.75,4.5,60.0,56.0,60.0,7.5
Arowana,"Silver, Gold, Green","Carnivore, Piscivore","Freshwater Rivers, Lakes","Birds, Larger Fish","South America, Asia",Not Evaluated,Osteoglossidae,Solitary,,,15.0,24.0,,32.0,
Asian Elephant,Grey,Herbivore,"Grasslands, Forests","Tigers, Leopards",Asia (Southeast),Endangered,Elephantidae,Herd-based,250.0,3500.0,70.0,40.0,650.0,40.0,1.0
Atlantic Puffin,"Black, White","Carnivore, Piscivore","North Atlantic, Arctic","Gulls, Birds of Prey","North Atlantic, Arctic",Vulnerable,Alcidae,Colony-based,27.5,560.0,22.5,40.0,40.0,80.0,1.0
Atlantic Spotted Dolphin,"Gray, White",Carnivore,"Oceans, Coastal Areas","Sharks, Orcas",Worldwide,Least Concern,Delphinidae,Group-based,225.0,130.0,22.5,52.0,370.0,52.0,1.0
Australian Fur Seal,"Brown, Gray",Carnivore,Coastal Waters,"Sharks, Orcas","Australia, New Zealand",Least Concern,Otariidae,Group-based,136.0,29.0,15.5,32.0,325.0,32.0,1.0
Axolotl,Various,Carnivore,"Lakes, Canals","Fish, Birds",Mexico,Critically Endangered,Ambystomatidae,Solitary,,,12.5,0.8,17.5,0.25,200.0
Aye-Aye,"Black, Brown","Omnivore, Insectivore",Rainforests,Birds of Prey,Madagascar,Endangered,Daubentoniidae,Solitary,36.0,2.45,21.5,32.0,165.0,32.0,1.0
Baird's Tapir,"Brown, Black",Herbivore,"Rainforests, Grasslands","Jaguars, Crocodiles",Central and South America,Endangered,Tapiridae,Solitary,91.5,275.0,27.5,48.0,392.5,48.0,1.0
Bald Eagle,"Brown, White",Carnivore,"Forests, Lakes, Coasts","Wolves, Raccoons",North America,Least Concern,Accipitridae,Solitary,86.0,4.5,25.0,120.0,35.0,120.0,2.0
Banded Palm Civet,"Brown, Black, White",Omnivore,Forests,Birds of Prey,"Southeast Asia, South Asia",Least Concern,Viverridae,Solitary,56.0,3.5,8.5,16.0,62.0,16.0,3.5
